% Model:              ring_decel_osterwalder.mph
% Version:            COMSOL 5.4.0.225
% Date:               Mar 20 2019, 06:41
% Dimension:          2
% Nodes:              1281
% Expressions:        1
% Description:        Electric field norm
% Length unit:        mm
% r                       z                        es.normE (V/m) @ ph=0
1.2000000000000002        -1.2                     1942742.0450482308
1.3000000000000003        -1.2                     1945078.4518227163
1.4000000000000001        -1.2                     1933546.13663441
1.5                       -1.2                     1887982.565684421
1.6                       -1.2                     1809080.86468135
1.7000000000000002        -1.2                     1666383.31932236
1.8000000000000003        -1.2                     1466996.3403010394
1.9000000000000001        -1.2                     1172358.3469358692
2                         -1.2                     818789.862458372
0                         -1.0999999999999999      1616446.8604293927
0.1                       -1.0999999999999999      1619203.0913646885
0.2                       -1.0999999999999999      1625166.2415811159
0.30000000000000004       -1.0999999999999999      1635850.0197516272
0.4                       -1.0999999999999999      1650631.8887766053
0.5                       -1.0999999999999999      1668641.0211511394
0.6000000000000001        -1.0999999999999999      1690312.3519226874
0.7000000000000001        -1.0999999999999999      1714483.5312248543
0.8                       -1.0999999999999999      1740836.2312356522
0.9000000000000001        -1.0999999999999999      1767321.6770234618
1                         -1.0999999999999999      1793426.822026715
1.1                       -1.0999999999999999      1816503.2464745524
1.2000000000000002        -1.0999999999999999      1828180.7545834826
1.3000000000000003        -1.0999999999999999      1839041.762232138
1.4000000000000001        -1.0999999999999999      1824589.5004937367
1.5                       -1.0999999999999999      1792502.7194187734
1.6                       -1.0999999999999999      1736063.4181064176
1.7000000000000002        -1.0999999999999999      1622286.7336106277
1.8000000000000003        -1.0999999999999999      1464546.2826989454
1.9000000000000001        -1.0999999999999999      1270192.554670418
2                         -1.0999999999999999      1090349.094437102
0                         -1                       1485237.6381769644
0.1                       -1                       1488497.548013166
0.2                       -1                       1495551.4505622466
0.30000000000000004       -1                       1506869.5932149466
0.4                       -1                       1522941.2984513456
0.5                       -1                       1542745.2761130293
0.6000000000000001        -1                       1566473.8172173032
0.7000000000000001        -1                       1593260.681890742
0.8                       -1                       1622570.2827117948
0.9000000000000001        -1                       1652861.5342671524
1                         -1                       1683672.0579251954
1.1                       -1                       1712330.3533489634
1.2000000000000002        -1                       1736043.2521254388
1.3000000000000003        -1                       1753375.735725278
1.4000000000000001        -1                       1754241.1611902202
1.5                       -1                       1732064.735481148
1.6                       -1                       1703038.3745638796
1.7000000000000002        -1                       1632340.3492799615
1.8000000000000003        -1                       1535721.0954246966
1.9000000000000001        -1                       1429144.5682534596
2                         -1                       1344714.9339334064
0                         -0.9                     1351807.9016503072
0.1                       -0.9                     1354995.4686856922
0.2                       -0.9                     1362216.5671595891
